query,id,title,abstract,fos,score
reinforcement learning in video game,1585067080,Automatically Generating Game Tactics through Evolutionary Learning,"The decision-making process of computer-controlled opponents in video games is called game AI. Adaptive AI can improve the entertainment value by allowing to ix weaknesses automatically and respond changes human-player tactics. Dynamic scripting reinforcement learning approach adaptive that learns, during gameplay, which tactics an opponent should select play effectively. In previous work, used dynamic were designed manually. We introduce evolutionary state-based generator (ESTG), uses algorithm generate automatically. Experimental results show ESTG improves scripting's performance real-time strategy game. conclude high-quality domain knowledge be generated for strong opponents. Game developers bene it from applying ESTG, as considerably reduces time effort needed create","Sequential game, Machine learning, Non-cooperative game, Simulation, Simulations and games in economics education, Computer science, Game development tool, Game design, Artificial intelligence, Game Developer, Win-win game, Game mechanics",0
Big data,1124052577,"A general perspective of Big Data: applications, tools, challenges and trends","Big Data has become very popular term. It refers to the enormous amount of structured, semi-structured and unstructured data that are exponentially generated by high-performance applications in many domains: biochemistry, genetics, molecular biology, physics, astronomy, business, mention few. Since literature increased significantly recent years, it becomes necessary develop an overview state-of-the-art Data. This paper aims provide comprehensive review last identify main challenges, areas application, tools emergent trends To meet this objective, we have analyzed classified 457 papers concerning gives relevant information practitioners researchers about research application different technical domains, as well reference tools.","Computer science, Data mining, Big data, Data science, Unstructured data",0
efficient estimation of word representations in vector space,2251066368,Evaluation of Word Vector Representations by Subspace Alignment,"Unsupervisedly learned word vectors have proven to provide exceptionally effective features in many NLP tasks. Most common intrinsic evaluations of vector quality measure correlation with similarity judgments. However, these often correlate poorly how well the representations perform as downstream evaluation We present QVEC—a computationally inexpensive embeddings based on alignment matrix extracted from manually crafted lexical resources—that obtains strong performance battery semantic tasks.1","Machine learning, Computer science, Matrix (mathematics), Random subspace method, Subspace topology, Pattern recognition, Artificial intelligence, Correlation",0
efficient estimation of word representations in vector space,1502178199,An Analysis of Direct Reinforcement Learning in Non-Markovian Domains,,"Q-learning, Markov model, Machine learning, Artificial intelligence, Markov decision process, Reinforcement learning, Temporal difference learning, Pattern recognition, Variable-order Markov model, Markov chain, Partially observable Markov decision process, Mathematics",0
converting word to speech,2066125712,Sparse Music Representation With Source-Specific Dictionaries and Its Application to Signal Separation,"We propose source-specific dictionary approach to efficient music representation, and apply it separation of signals that coexist with background noise such as speech or environmental sounds. The basic idea is determine set elementary functions, called atoms, efficiently capture signal characteristics. There are three steps in the construction dictionary. First, we decompose components musical (e.g., notes) into source-independent atoms (i.e., Gabor atoms). Then, prioritize these according their approximation capability interest. Third, use prioritized synthesize new build compact number needed represent using much less than dictionary, resulting sparse representation. For single-channel separation, project mixture onto atoms. Experimental results given demonstrate efficiency applications proposed approach.","Harmonic analysis, Computer science, Pattern recognition, Speech recognition, Artificial intelligence, K-SVD, Background noise, Matching pursuit, Musical notation, Elementary function, Source separation",0
natural language interface,1551178608,Template-independent news extraction based on visual consistency,"Wrapper is traditional method to extract useful information from Web pages. Most previous works rely on the similarity between HTML tag trees and induced template-dependent wrappers. When hundreds of sources need be extracted in specific domain like news, it costly generate maintain In this paper, we propose novel template-independent news extraction approach easily identify articles based visual consistency. We first represent page as block tree. Then, by extracting series features, can derive composite feature set that stable domain. Finally, use machine learning wrapper. Experimental results indicate our effective across websites, even unseen websites. The performance high around 95% terms F1-value.","Information retrieval, Web page, HTML element, Computer science, Biconnected component, Data mining",0
reinforcement learning in video game,2753316839,Deep Learning for Video Game Playing.,"In this article, we review recent Deep Learning advances in the context of how they have been applied to play different types video games such as first-person shooters, arcade games, and real-time strategy games. We analyze unique requirements that game genres pose deep learning system highlight important open challenges applying these machine methods general playing, dealing with extremely large decision spaces sparse rewards.","Machine learning, Game art design, Artificial intelligence, Turns, rounds and time-keeping systems in games, Multimedia, Video game design, Simulation, Game Developer, Game design, Computer science, General game playing, Emergent gameplay, Game mechanics",0
converting word to speech,1980618402,Semantic speech editing,"Editing speech data is currently time-consuming and error-prone. Speech editors rely on acoustic waveform representations, which force users to repeatedly sample the underlying identify words phrases edit. Instead we developed semantic editor that reduces need for extensive sampling by providing access meaning. The shows time-aligned errorful transcript produced applying automatic recognition (ASR) original speech. Users visually scan in important phrases. They then edit directly using standard word processing 'cut paste' operations, extract corresponding ASR errors mean must supplement what they read accessing Even when there are errors, however, representation still provides with enough information target play, reducing sampling. laboratory evaluation showed editing more efficient than even highly inaccurate.","Speech recognition, Audio mining, Speech processing, Computer science, Natural language processing, Acoustic model, Speech synthesis, Voice activity detection, Speech analytics, Speech corpus, Artificial intelligence",0
natural language interface,1481098625,The IRUS transportable natural language database interface,,"Natural language, Natural language processing, Irus, Programming language, Artificial intelligence, Computer science",0
Big data,2399137150,Big Data Meet Green Challenges: Greening Big Data,"Nowadays, there are two significant tendencies, how to process the enormous amount of data, big and deal with green issues related sustainability environmental concerns. An interesting question is whether inherent correlations between tendencies in general. To answer this question, paper firstly makes comprehensive literature survey on data systems terms whole life cycle processing, then studies relevance metrics proposes new metrics, effective energy efficiency resource order bring views potentials for future times data.","Efficient energy use, Management science, Resource efficiency, Sustainability, Real-time computing, Data analysis, Test data generation, Computer science, Greening, Big data, Data mining",0
