query,id,title,abstract,fos,score
converting text to speech,2164280277,Multilingual text analysis for text-to-speech synthesis,"We present model of text analysis for text-to-speech (TTS) synthesis based on (weighted) finite state transducers, which serves as the module multilingual Bell Labs TTS system. The transducers are constructed using lexical toolkit that allows declarative descriptions lexicons, morphological rules, numeral-expansion and phonological inter alia. To date, has been applied to eight languages: Spanish, Italian, Romanian, French, German, Russian, Mandarin Japanese.","Mandarin Chinese, Natural language processing, Speech recognition, Romanian, Artificial intelligence, Phonological rule, Speech synthesis, Computer science, Text mining, German",3
big data,2293726547,Database technologies in the world of big data,"Now we have number of database technologies called usually NoSQL, like key-value, column-oriented, and document stores as well search engines graph databases. Whereas SQL software vendors offer advanced products with the capability to handle highly complex queries transactions, NoSQL databases share rather characteristics concerning scaling performance, e.g. auto-sharding, distributed query support, integrated caching. Their drawbacks can be lack schema or data consistency, difficulty in testing maintaining, absence higher language. Complex modelling language only access tool are missing here. On other hand, last studies show that both value for transactional analytical Big Data. Top providers rearchitected combining row columnar in-memory compression enabling processing large sets querying, often over massive, continuous streams. The technological progress led development massively parallel analytic paper presents some details current technologies, their pros cons different application environments, emerging trends this area.","Data mining, NoSQL, Database, XML database, View, Database model, Query by Example, Graph database, Database testing, In-Memory Processing, Computer science",3
converting text to speech,1732667564,A Mandarin text-to-speech system,"The implementation of high-performance Mandarin TTS system is presented. composed four main parts: text analysis (TA), prosodic information generation (PIG), waveform table (WT) 411 base-syllables, and PSOLA-based synthesis (PSOLA). In TA, statistical model based method first employed to automatically tag the input obtain word sequence associated part-of-speech (POS) sequence. lexicon containing about 80000 words used in tagging process. Then corresponding base-syllable found get from WT basic Some linguistic features PIG are also extracted TA. PIG, four-layer recurrent neural network (RNN) generate some including pitch contour, energy level, initial duration final syllable as well inter-syllable pause duration. Finally, PSOLA modified using output synthetic speech. whole implemented by software on PC/AT 486 with 16-bit Sound Blaster add-on card. Only 3.2 Mbyte memory space required. It can synthesize speech real-time for any Chinese text. Informal listening tests many native living Taiwan confirmed that sounded very fluent natural.","Part of speech, Pitch contour, Speech recognition, PSOLA, Waveform, Speech synthesis, Syllable, Recurrent neural network, Computer science, Text mining",3
converting text to speech,2128466129,Vulnerability of speaker verification systems against voice conversion spoofing attacks: The case of telephone speech,Voice conversion the methodology of automatically converting one's utterances to sound as if spoken by another speaker presents threat for applications relying on verification. We study vulnerability text-independent verification systems against voice attacks using telephone speech. implemented with two types features and nonparallel frame alignment methods five ranging from simple Gaussian mixture models (GMMs) state-of-the-art joint factor analysis (JFA) recognizer. Experiments subset NIST 2006 SRE corpus indicate that JFA method is most resilient attacks. But even it experiences more than 5-fold increase in false acceptance rate 3.24 17.33 %.,"Speaker recognition, Speech recognition, Support vector machine, Speaker diarisation, NIST, Gaussian process, Spoofing attack, Mixture model, Pattern recognition, Artificial intelligence, Ranging, Computer science",2
efficient estimation of word representations in vector space,1598403601,Adaptive Bayesian Contour Estimation: A Vector Space Representation Approach,"We propose vector representation approach to contour estimation from noisy data. Images are modeled as random fields composed of set homogeneous regions; contours (boundaries regions) assumed be vectors subspace L2(T) generated by given finite basis; B-splines, Sinc-type, and Fourier bases considered. The main contribution the paper is smoothing criterion, interpretable priori probability, based on Kullback distance between neighboring densities. maximum posteriori probability (MAP) criterion adopted. To solve optimization problem one led (joint contours, dimension, model parameters), we gradient projection type algorithm. experiments performed simulated an real images illustrates potencial proposed methodology","Mathematical optimization, Random field, Vector space, Smoothing, Maximum a posteriori estimation, Active contour model, Mathematics, Subspace topology, Artificial intelligence, Edge detection, Optimization problem, Pattern recognition",0
efficient estimation of word representations in vector space,2087077371,Adapting a spatial access structure for document representations in vector space,,"Computer science, Upper and lower bounds, Vector space, Machine learning, Vector space model, Theoretical computer science, Access structure, Artificial intelligence",2
reinforcement learning in video game,2016945372,Application of reinforcement learning to the game of Othello,"Operations research and management science are often confronted with sequential decision making problems large state spaces. Standard methods that used for solving such complex associated some difficulties. As we discuss in this article, these plagued by the so-called curse of dimensionality modelling. In reinforcement learning, machine learning technique We describe how can be combined function approximation method to avoid both To illustrate usefulness approach, apply it problem huge space-learning play game Othello. experiments which agents learn Othello without use any knowledge provided human experts. It turns out better than players basic strategies.","Game theory, Mathematics, Markov decision process, Artificial neural network, Intelligent agent, Q-learning, Reinforcement learning, Decision support system, Machine learning, Curse of dimensionality, Artificial intelligence",3
converting text to speech,2026897582,Phonetization of Arabic: rules and algorithms,"Abstract One approach to the transcription of written text into sounds (phonetization) is use set well-defined language-dependent rules, which are in most situations augmented by dictionary exceptional words that constitute their on rules. The process transcribing starts pre-processing lexical items rules applicable. can be segregated phonemic and phonetic Phonemic operate graphemes convert them phonemes. Phonetic onto phonemes phones or actual sounds. Converting from developing comprehensive for any language marked several problems have origins relative lack correspondence between spelling sound contents. For standard Arabic (SA) these not as severe they English French but do exist. This paper presents detailed investigation all aspects phonetization SA purpose system letter-to-sound conversion assessing quality system. In particular deals with following issues: (1) other writing impact converting (2) development used (3) investigations important contextual variations so determine viable variants (phones) (4) phones. (5) formulation grapheme phoneme phone transcriptions algorithms lend themselves computer-based processing. (6) An objective evaluation performance Phonetization an component natural processing (NLP) domain envisages text-to-speech (TTS) has applications beyond speech synthesis such acoustic modeling recognition applications.","Computer science, Speech recognition, Transcription (linguistics), Natural language processing, Phone, Grapheme, Speech synthesis, Algorithm, Phonetic transcription, Computational linguistics, Spelling, Lexical item, Artificial intelligence",3
reinforcement learning in video game,2522489477,Playing FPS Games with Deep Reinforcement Learning.,"Advances in deep reinforcement learning have allowed autonomous agents to perform well on Atari games, often outperforming humans, using only raw pixels make their decisions. However, most of these games take place 2D environments that are fully observable the agent. In this paper, we present first architecture tackle 3D first-person shooter involve partially states. Typically, methods utilize visual input for training. We method augment models exploit game feature information such as presence enemies or items, during training phase. Our model is trained simultaneously learn features along with minimizing Q-learning objective, which shown dramatically improve speed and performance our also modularized allow different be independently phases game. show proposed substantially outperforms built-in AI humans deathmatch scenarios.","Artificial intelligence, Autonomous agent, Machine learning, Exploit, Reinforcement learning, Computer science, Architecture, Observable, Simulation",3
efficient estimation of word representations in vector space,2164973920,Multi-Prototype Vector-Space Models of Word Meaning,"Current vector-space models of lexical semantics create single ""prototype"" vector to represent the meaning word. However, due ambiguity, encoding word with is problematic. This paper presents method that uses clustering produce multiple ""sense-specific"" vectors for each approach provides context-dependent representation naturally accommodates homonymy and polysemy. Experimental comparisons human judgements semantic similarity both isolated words as well in sentential contexts demonstrate superiority this over prototype exemplar based models.","Natural language processing, Semantic property, Cluster analysis, SemEval, Ambiguity, Vector space model, Semantic similarity, Artificial intelligence, Lexical semantics, Polysemy, Computer science",3
efficient estimation of word representations in vector space,2507839313,Learning Latent Vector Spaces for Product Search,"We introduce novel latent vector space model that jointly learns the representations of words, e-commerce products and mapping between two without need for explicit annotations. The power lies in its ability to directly discriminative relation particular word. compare our method existing models (LSI, LDA word2vec) evaluate it as feature learning rank setting. Our achieves enhanced performance better product representations. Furthermore, from words benefit errors propagated back during parameter estimation. provide an in-depth analysis analyze structure learned","Discriminative model, Word2vec, Learning to rank, Probabilistic latent semantic analysis, Feature learning, Computer science, Estimation theory, Vector space model, Vector space, Machine learning, Pattern recognition, Artificial intelligence",3
