query,id,title,abstract,fos,score
converting text to speech,35969542,Combinatorial issues in text-to-speech synthesis.,"Enhanced storage capacities and new learning algorithms have increased the role of text speech training data bases in construction text-to-speech systems. It has become apparent, however, that not always are available strong generalization capabilities ability to generalize from cases seen base encountered during TTS operation. This makes it important measure understand degree coverage input domain system (usually, entire language) by given base. The goal this paper is investigate feasibility several domains interest for TTS. shown that, as result combinatorics language, typically quite disappointing. puts premium on capability algorithms.","Speech recognition, Natural language processing, Computer science, Speech synthesis, Artificial intelligence",0
converting text to speech,63937664,Improvements in slovene text-to-speech synthesis.,,"Speech recognition, Natural language processing, Speech synthesis, Computer science, Artificial intelligence",0
reinforcement learning in video game,2048972052,Reinforcement Learning in Video Games Using Nearest Neighbor Interpolation and Metric Learning,"Reinforcement learning (RL) has had mixed success when applied to games. Large state spaces and the curse of dimensionality have limited ability for RL techniques learn play complex games in reasonable length time. We discuss modification Q-learning use nearest neighbor states exploit previous experience early stages learning. weighting on features is learned using metric techniques, such that neighboring represent similar game situations. Our method tested arcade Frogger, it shown some effects can be mitigated.","Instance-based learning, Learning classifier system, Active learning (machine learning), Machine learning, Reinforcement learning, Large margin nearest neighbor, Unsupervised learning, k-nearest neighbors algorithm, Curse of dimensionality, Mathematics, Artificial intelligence, Pattern recognition",0
reinforcement learning in video game,1969685488,Reinforcement learning agents providing advice in complex video games,"This article introduces teacher–student framework for reinforcement learning, synthesising and extending material that appeared in conference proceedings [Torrey, L., Taylor, M. E. (2013)]. Teaching on budget: Agents advising agents learning. {Proceedings of the international autonomous multiagent systems}] non-archival workshop paper [Carboni, N., &Taylor, (2013, May)]. Preliminary results vs. tactics StarCraft. adaptive learning (at AAMAS-13)}]. In this framework, teacher agent instructs student by suggesting actions should take as it learns. However, may only give such advice limited number times. We present several novel algorithms teachers can use to budget their effectively, we evaluate them two complex video games: StarCraft Pac-Man. Our show same amount advice, given at different moments, have differe...","Computer science, Artificial intelligence, Autonomous agent, Machine learning, Reinforcement learning, Information and Computer Science, Multi-agent system",0
reinforcement learning in video game,2042439732,Automatic computer game balancing: a reinforcement learning approach,"Designing agents whose behavior challenges human players adequately is key issue in computer games development. This work presents novel technique, based on reinforcement learning (RL), to automatically control the game level, adapting it player skills order guarantee good balance. RL has commonly been used competitive environments, which agent must perform as well possible beat its opponent. The innovative use of proposed here makes challenge function, estimates current player's changes action selection mechanism framework. technique applied fighting game, Knock'em, provide empirical validation approach.","Artificial intelligence, Simulations and games in economics education, Automatic control, Machine learning, Computer science, Reinforcement learning, Adversary, Action selection, Simulation",0
big data,52836632,"Big science, big data, and a big role for biomedical informatics","The role of biomedical informatics in science has never been so prominent, and we strive to make this journal vehicle for wide dissemination the best work well beyond our own field. This issue is dedicated translational enabled by informatics. It combines topics AMIA's Joint Summits on Translational Science—Translational Bioinformatics Clinical Research Informatics—and presents articles from conference, as several other related that have submitted JAMIA through regular process. As readers can verify, outstanding quality selected conference them indistinguishable articles.  It was particularly exciting with guest editors Nigam Shah, Michael Kahn, Chunhua Weng edit special issue. true not only because learned much each other's perspectives, but also able its contribution success Summits, motivating authors submit their potential publication journal. director academic unit within medical school, appreciate trainees junior faculty option papers proceedings, may hesitate given unequal weights assigned promotion committees proceedings publications. On hand, everyone community wants an opportunity see live presentations interact who are producing By inviting be journal, hope contributing both these goals.  As will notice, even though categorized primarily representing bioinformatics or clinical research informatics, boundaries fuzzy. Shah Tenembaum (see page e2) describe how analysis Big Data already started translated bedside influence patient outcomes. They bridged gap between practice, ways resemble basic discoveries into healthcare. With strong, exclusive, focus whole genome sequencing analysis, increasingly appearing JAMIA, reflecting growth critical sub-specialty attracting large number new Two prior issues (July 2011 March 2012) were focused very received readers. Another one notable (December 2011) informatics.  In issue, Kahn e36) propose conceptual model highlight relate continuum trials. report, informatics' presence experienced exponential growth, consortium Science Awards, recognition that, without it possible implement ‘Big Science.’  Enjoy spread word: key Science, Data. big disseminating scholarly community.","Health Administration Informatics, Data mining, Translational bioinformatics, Informatics, Clinical research, Engineering informatics, Translational research informatics, Health informatics, Translational science, Data science, Computer science",0
natural language interface,2269738476,Constructing an interactive natural language interface for relational databases,"Natural language has been the holy grail of query interface designers, but generally considered too hard to work with, except in limited specific circumstances. In this paper, we describe architecture an interactive natural for relational databases. Through carefully interaction with user, are able correctly interpret complex queries, generic manner across range domains. By these means, logically English sentence is translated into SQL query, which may include aggregation, nesting, and various types joins, among other things, can be evaluated against RDBMS. We have constructed system, NaLIR (Natural Language Interface Relational databases), embodying ideas. Our experimental assessment, through user studies, demonstrates that good enough usable practice: even naive users specify quite ad-hoc queries.","Computer science, Data mining, Database, Relational database, Natural language programming, Natural language processing, Query language, Sargable, Natural language user interface, RDF query language, SQL, Query by Example, Artificial intelligence",0
natural language interface,2275038102,Interacting with data warehouse by using a natural language interface,"Writing Online Analytical Processing (OLAP) queries for data warehouses is complex and skill requiring task especially the novel users. The situation becomes more critical when low skilled person wants to access or analyze his business from warehouse. These scenarios require expertise skills in terms of understanding writing accurate functional queries. However, these tasks can be simplified by providing an easy interface In order resolve all such issues, automated software tool needed, which facilitates both users engineers. this paper we present approach with name QueGen (Query Generator) that generates OLAP based on specification provided natural English language. Users need write requirements simple few statements. After semantic analysis mapping associated information, intended executed directly warehouses. An experimental study has been conducted performance accuracy proposed tool.","Artificial intelligence, Online analytical processing, Data mining, Computer science, Natural language processing, Database, Semantics of Business Vocabulary and Business Rules, Software, Natural language user interface, Data warehouse",0
efficient estimation of word representations in vector space,2472952455,Improving Language Estimation with the Paragraph Vector Model for Ad-hoc Retrieval,"Incorporating topic level estimation into language models has been shown to be beneficial for information retrieval (IR) such as cluster-based and LDA-based document representation. Neural embedding models, paragraph vector (PV) on the other hand have their effectiveness efficiency in learning semantic representations of documents words multiple Natural Language Processing (NLP) tasks. However, is mostly unknown. In this paper, we study how effectively use PV model improve ad-hoc retrieval. We propose three major improvements over original adapt it IR scenario: (1) frequency-based rather than corpus negative sampling strategy so that importance frequent will not suppressed excessively; (2) introduce regularization representation prevent overfitting short along with iterations; (3) employ joint objective which considers both document-word word-context associations produce better word probability estimation. By incorporating enhanced modeling framework, show can significantly outperform state-of-the-art models.","Computer science, Information retrieval, Overfitting, Embedding, Paragraph, Sampling (statistics), Vector space model, Language model, Machine learning, Artificial intelligence, Regularization (mathematics)",0
natural language interface,2170719865,Conversation-Based Natural Language Interface to Relational Databases,"This paper proposes new approach for creating conversation-based natural language interfaces to relational databases by combining goal oriented conversational agents and knowledge trees. Goal have proven their capability disambiguate the user's needs converse within context (i.e. specific domain). Knowledge trees used overcome lacking of connectivity between agent database, through organizing domain in also work as road map dialogue flow. The proposed framework makes it easier engineers develop reliable NLI-RDB. developed prototype system shows excellent performance on common queries (i. e. extracted from expert engineer). user will friendly interface that can with database.","Data mining, Relational database, Domain knowledge, Computer science, Knowledge-based systems, Conversation, Knowledge engineering, Natural language processing, Statistical relational learning, SQL, Natural language user interface, Artificial intelligence",0
reinforcement learning in video game,2016945372,Application of reinforcement learning to the game of Othello,"Operations research and management science are often confronted with sequential decision making problems large state spaces. Standard methods that used for solving such complex associated some difficulties. As we discuss in this article, these plagued by the so-called curse of dimensionality modelling. In reinforcement learning, machine learning technique We describe how can be combined function approximation method to avoid both To illustrate usefulness approach, apply it problem huge space-learning play game Othello. experiments which agents learn Othello without use any knowledge provided human experts. It turns out better than players basic strategies.","Game theory, Mathematics, Markov decision process, Artificial neural network, Intelligent agent, Q-learning, Reinforcement learning, Decision support system, Machine learning, Curse of dimensionality, Artificial intelligence",0
big data,2576683119,Machine learning on big data,"Machine learning (ML) is continuously unleashing its power in wide range of applications. It has been pushed to the forefront recent years partly owing advent big data. ML algorithms have never better promised while challenged by Big data enables uncover more fine-grained patterns and make timely accurate predictions than ever before; on other hand, it presents major challenges such as model scalability distributed computing. In this paper, we introduce framework (MLBiD) guide discussion opportunities challenges. The centered which follows phases preprocessing, learning, evaluation. addition, also comprised four components, namely data, user, domain, system. components MLBiD provide directions for identification associated open up future work many unexplored or under explored research areas.","Artificial intelligence, Machine learning, Scalability, Data pre-processing, Big data, Data mining, Preprocessor, Computer science",0
big data,79970639,Big Data Clustering: A Review,"Clustering is an essential data mining and tool for analyzing big data. There are difficulties applying clustering techniques to duo new challenges that raised with As Big Data referring terabytes petabytes of algorithms come high computational costs, the question how cope this problem deploy get results in reasonable time. This study aimed review trend progress from very first proposed until today’s novel solutions. The targeted producing improved introduced analyzed, afterward possible future path more advanced illuminated based on available technologies frameworks.","Cluster analysis, Computer network, Computer science, Terabyte, Big data, Data mining",0
reinforcement learning in video game,2590481545,Position-based reinforcement learning biased MCTS for General Video Game Playing,"This paper proposes an application of reinforcement learning and position-based features in rollout bias training Monte-Carlo Tree Search (MCTS) for General Video Game Playing (GVGP). As improvement on Knowledge-based Fast-Evo MCTS proposed by Perez et al., the method is designated both GVG-AI Competition mechanism original method. The performance evaluated empirically, using all games from six sets available Framework, achieves better scores than five other existing MCTS-based methods overall.","Simulation, Artificial intelligence, Machine learning, Knowledge-based systems, Reinforcement learning, Feature extraction, General video game playing, Computer science, Euclidean distance",0
efficient estimation of word representations in vector space,2164973920,Multi-Prototype Vector-Space Models of Word Meaning,"Current vector-space models of lexical semantics create single ""prototype"" vector to represent the meaning word. However, due ambiguity, encoding word with is problematic. This paper presents method that uses clustering produce multiple ""sense-specific"" vectors for each approach provides context-dependent representation naturally accommodates homonymy and polysemy. Experimental comparisons human judgements semantic similarity both isolated words as well in sentential contexts demonstrate superiority this over prototype exemplar based models.","Natural language processing, Semantic property, Cluster analysis, SemEval, Ambiguity, Vector space model, Semantic similarity, Artificial intelligence, Lexical semantics, Polysemy, Computer science",0
efficient estimation of word representations in vector space,2251976333,Detecting Compositionality of Multi-Word Expressions using Nearest Neighbours in Vector Space Models,We present novel unsupervised approach to detecting the compositionality of multi-word expressions. compute phrase through substituting constituent words with their “neighbours” in semantic vector space and averaging over distance between original substituted neighbour phrases. Several methods obtaining neighbours are presented. The results compared existing supervised achieve state-of-the-art performance on verb-object dataset human ratings.,"Machine learning, Computer science, Phrase, Principle of compositionality, Vector space, Expression (mathematics), Pattern recognition, Artificial intelligence",0
natural language interface,2296769737,A natural language interface for querying general and individual knowledge,"Many real-life scenarios require the joint analysis of general knowledge, which includes facts about world, with individual relates to opinions or habits individuals. Recently developed crowd mining platforms, were designed for such tasks, are major step towards solution. However, these platforms users specify their information needs in formal, declarative language, may be too complicated naive users. To make and knowledge accessible public, it is desirable provide an interface that translates user questions, posed natural language (NL), into formal query languages support.  While translation NL questions queries over conventional databases has been studied previous work, setting mixed raises unique challenges. In particular, support distinct constructs associated two types question must partitioned translated using different means; yet eventually all parts should seamlessly combined well-formed query. account challenges, we design implement modular framework employs new solutions along state-of-the art parsing tools. The results our experimental study, involving real on various topics, demonstrate provides high-quality many not handled by","Natural language, Computer science, Parsing, Data mining, Database, Information needs, General knowledge, Query language, Descriptive knowledge, Natural language processing, Natural language user interface, Declarative programming, Artificial intelligence",0
reinforcement learning in video game,2736791111,End-to-End Driving in a Realistic Racing Game with Deep Reinforcement Learning,"We address the problem of autonomous race car driving. Using recent rally game (WRC6) with realistic physics and graphics we train an Asynchronous Actor Critic (A3C) in end-to-end fashion propose improved reward function to learn faster. The network is trained simultaneously on three very different tracks (snow, mountain, coast) various road structures, physics. Despite more complex environments agent learns significant features exhibits good performance while driving stable way than existing approaches.","Asynchronous communication, Reinforcement learning, End-to-end principle, Computer science, Graphics, Machine learning, Simulation, Artificial intelligence",0
efficient estimation of word representations in vector space,1503441655,Measuring Word Relatedness Using Heterogeneous Vector Space Models,"Noticing that different information sources often provide complementary coverage of word sense and meaning, we propose simple yet effective strategy for measuring lexical semantics. Our model consists committee vector space models built on text corpus, Web search results thesauruses, measures the semantic relatedness using averaged cosine similarity scores. Despite its simplicity, our system correlates with human judgements better or similarly compared to existing methods several benchmark datasets, including WordSim353.","Natural language processing, Machine learning, Cosine similarity, Lexical semantics, Vector space model, Artificial intelligence, Vector space, Computer science, Text corpus",0
natural language interface,2243052854,TR Discover: A Natural Language Interface for Querying and Analyzing Interlinked Datasets,"Currently, the dominant technology for providing non-technical users with access to Linked Data is keyword-based search. This problematic because keywords are often inadequate as means expressing user intent. In addition, while structured query language can provide convenient information needed by advanced analytics, unstructured search cannot meet this extremely common need. makes it harder than necessary generate analytics. We address these difficulties developing natural language-based system that allows create well-formed questions. Our system, called TR Discover, maps from fragment of English into an intermediate First Order Logic representation, which in turn mapped SPARQL or SQL. The mapping logic crucial use feature-based grammar full formal semantics. covered domain specific and tuned kinds questions handle. Because will not necessarily know what coverage is, Discover offers novel auto-suggest mechanism help construct useful was developed future Thomson Reuters Cortellis, existing product built on top linked data targeting pharmaceutical domain. via interface. report results performance measures demonstrate portability QALD-4 dataset, associated public shared task. show usable portable, relative queries using SQL back ends.","Data mining, Computer science, Natural language, Database, Question answering, Analytics, Linked data, Software portability, SPARQL, Natural language user interface, SQL",0
big data,9142383,Benchmarking Spatial Big Data,"Increasingly, location-aware datasets are of size, variety, and update rate that exceeds the capability spatial computing technologies. This paper addresses emerging challenges posed by such datasets, which we call Spatial Big Data SBD. SBD examples include trajectories cell-phones GPS devices, vehicle engine measurements, temporally detailed road maps, etc. has potential to transform society via number new technologies including next-generation routing services. However, envisaged SBD-based services pose several significant for current techniques. magnifies impact partial information ambiguity traditional queries specified start location an end location. In addition, assumption single algorithm utilizing specific dataset is appropriate all situations. The tremendous diversity sources substantially increases solution methods. Newer algorithms may emerge as becomes available, creating need flexible architecture rapidly integrate associated algorithms. To quantify performance these algorithms, benchmarks needed focus on big ensure proper comparisons across","Global Positioning System, Architecture, Benchmarking, Ambiguity, Big data, Data mining, Engineering",0
big data,2589749558,Handbook of Big Data Technologies,,"Data science, Big data, Computer science, Web design",0
reinforcement learning in video game,2750605955,A Unified Game-Theoretic Approach to Multiagent Reinforcement Learning,"There has been resurgence of interest in multiagent reinforcement learning (MARL), due partly to the recent success deep neural networks. The simplest form MARL is independent (InRL), where each agent treats all its experience as part (non stationary) environment. In this paper, we first observe that policies learned using InRL can overfit other agents' during training, failing sufficiently generalize execution. We introduce new metric, joint-policy correlation, quantify effect. describe meta-algorithm for general MARL, based on approximate best responses mixtures generated learning, and empirical game theoretic analysis compute meta-strategies policy selection. generalizes previous algorithms such InRL, iterated response, double oracle, fictitious play. Then, propose scalable implementation which reduces memory requirement decoupled meta-solvers. Finally, demonstrate generality resulting three partially observable settings: gridworld coordination problems, emergent language games, poker.","Computer science, Artificial intelligence, Mathematical optimization, Machine learning, Best response, Fictitious play, Oracle, Overfitting, Generality, Scalability, Artificial neural network, Reinforcement learning",0
efficient estimation of word representations in vector space,2787685818,Modeling N400 amplitude using vector space models of word representation.,,"Cognitive psychology, Amplitude, Psychology, Machine learning, Vector space, N400, Artificial intelligence",0
efficient estimation of word representations in vector space,342285082,Improving Vector Space Word Representations Using Multilingual Correlation,"The distributional hypothesis of Harris (1954), according to which the meaning words is evidenced by contexts they occur in, has motivated several effective techniques for obtaining vector space semantic representations using unannotated text corpora. This paper argues that lexico-semantic content should additionally be invariant across languages and proposes simple technique based on canonical correlation analysis (CCA) incorporating multilingual evidence into vectors generated monolingually. We evaluate resulting word standard lexical evaluation tasks show our method produces substantially better than monolingual techniques.","Computer science, Natural language processing, Invariant (mathematics), Vector space, Text corpus, Correlation, Pattern recognition, Artificial intelligence, Canonical correlation",0
big data,2582589033,Cognitive big data: survey and review on big data research and its implications. What is really “new” in big data?,"Purpose     The purpose of this paper is to introduce and define Cognitive Big Data as concept. Furthermore, it investigates what really “new” in Data, seems be hyped-up concept that has emerged during recent years. The also broaden the discussion around far beyond common 4V (velocity, volume, veracity variety) model.     Design/methodology/approach     The authors established an expert think tank discuss notion identify new characteristics re-think idea by analyzing over 60 literature resources. They identified typical baseline scenarios (traffic, business processes, retail, health social media) starting point from which they explored different perspectives.     Findings     They concluded simply not recognized need approach toward Data. introduced five-Trait Framework for “Cognitive Data”, socio-technical system, data space, richness, knowledge management (KM)/decision-making visualization/sensory presentation.     Research limitations/implications     The viewpoint centered on cognitive processes KM process.     Practical implications     Data made available understandable form right application context portion size can turned into eventually wisdom. know about ignored, are aware (dark data) fully utilized analysis (light data). In foreground extension human mental capabilities understandability.     Social implications     Cognitive implies socio-technological system.     Originality/value     Introduction framework.","Business process, Dark data, Originality, Knowledge management, Information management, Need to know, Computer science, Knowledge-based systems, Data science, Big data, Data quality",0
