paper,id,title,abstract,fos,score
Natural Language Interface Using Shallow Parsing.,1983447368,Exploiting lexical regularities in designing natural language systems,"This paper presents the lexical component of START Question Answering system developed at MIT Artificial Intelligence Laboratory. is able to interpret correctly wide range semantic relationships associated with alternate expressions arguments verbs. The design takes advantage results recent linguistic research into structure lexicon, allowing attain broader coverage than many existing systems while maintaining modular organization.","Natural language processing, Natural language, Question answering, Semantics, Information processing, Vocabulary, Artificial intelligence, Lexicon, Modular design, Syntax, Computer science",0
Reinforcement Learning in First Person Shooter Games,2399570347,Learning policies for first person shooter games using inverse reinforcement learning,"The creation of effective autonomous agents (bots) for combat scenarios has long been goal the gaming industry. However, secondary consideration is whether bots behave like human players; this especially important simulation/training applications which aim to instruct participants in real-world tasks. Bots often compensate lack acumen with advantages such as accurate targeting, predefined navigational networks, and perfect world knowledge, makes them challenging but predictable opponents. In paper, we examine problem teaching bot play first-person shooter game scenarios. Our learns attack, exploration targeting policies from data collected expert player demonstrations Unreal Tournament.  We hypothesize that one key difference between players lies relative valuation states. To capture internal model used by evaluate benefits different actions, use inverse reinforcement learning learn rewards We report results subjects' study evaluating performance learned demonstration against set standard policies. reveals found our be significantly more human-like than during play. technique represents promising stepping-stone toward addressing challenges Bot Turing Test (the CIG 2K Competition).","Computer science, Autonomous agent, Turing test, Relative valuation, Artificial intelligence, Machine learning, Simulation, Reinforcement learning",0
Efficient Estimation of Word Representations in Vector Space,2265846598,Recurrent convolutional neural networks for text classification,"Text classification is foundational task in many NLP applications. Traditional text classifiers often rely on human-designed features, such as dictionaries, knowledge bases and special tree kernels. In contrast to traditional methods, we introduce recurrent convolutional neural network for without features. our model, apply structure capture contextual information far possible when learning word representations, which may considerably less noise compared window-based networks. We also employ max-pooling layer that automatically judges words play key roles the components texts. conduct experiments four commonly used datasets. The experimental results show proposed method outperforms state-of-the-art methods several datasets, particularly document-level","Artificial intelligence, Machine learning, Computer science, Artificial neural network, Word embedding, Tree kernel, Convolutional neural network, Pattern recognition",0
Natural Language Interface Using Shallow Parsing.,2084582960,A sublanguage approach to natural language processing for an expert system,"Abstract sublanguage grammar approach with strong reliance on semantic word classes was used to develop an NLP component for processing the free-text comments life insurance applications evaluation by underwriting expert system. The is implemented using logic-programming formalism. Lexicon entries contain class tags such as BODYPART, SYMPTOM, or MEDICATION. Adjacency Rules and Ambiguity Filter are interpret input data these classes. Across two experiments, system produced appropriate readings 96.8% of sample 2069 utterances, number parses per utterance 1.079 same sample. Misspellings caused its only serious problem. text shown be very promising systems suggests itself useful paradigm range other text-based which must deal naturally occurring frequently ungrammatical texts.","Expert system, Semantics, Lexicon, Information extraction, Ambiguity, Natural language processing, Sublanguage, Computer science, Utterance, Artificial intelligence, Formal grammar",0
Reinforcement Learning in First Person Shooter Games,2172264025,Empirical Studies in Action Selection with Reinforcement Learning,"To excel in challenging tasks, intelligent agents need sophisticated mechanisms for action selection: they policies that dictate what to take each situation. Reinforcement learning (RL) algorithms are designed learn such given only positive and negative rewards. Two contrasting approaches RL currently popular use temporal difference (TD) methods, which value functions, evolutionary optimize populations of candidate policies. Both have had practical successes but few studies directly compared them. Hence, there no general guidelines describing their relative strengths weaknesses. In addition, has been little cross-collaboration, with attempts make them work together or apply ideas from one the other. this article we aim address these shortcomings via three empirical compare methods investigate new ways making together.  First, two benchmark task identify variations isolate factors critical performance method. Second, at on-line tasks by borrowing exploratory traditionally used TD methods. We present results demonstrating dramatic improvement. Third, explore novel way using evolution automatically discover good representations function approximators. approach can outperform both alone.","Empirical research, Machine learning, Artificial intelligence, Evolutionary algorithm, Temporal difference learning, Evolutionary computation, Reinforcement learning, Artificial neural network, Intelligent agent, Action selection, Computer science",0
Novel-word pronunciation within a text-to-speech system,2402998908,Assigning phrase breaks from part-of-speech sequences.,,"Part of speech, Artificial intelligence, Speech recognition, Phrase, Pattern recognition, Computer science",0
Natural Language Interface Using Shallow Parsing.,2025265669,Natural Language Dialogue Service for Appointment Scheduling Agents,"Appointment scheduling is problem faced daily by many individuals and organizations. Cooperating agent systems have been developed to partially automate this task. In order extend the circle of participants as far possible we advocate use natural language transmitted email. We describe COSMA, fully implemented German server for existing appointment systems. COSMA can cope with multiple dialogues in parallel, accounts differences dialogue behaviour between human machine agents. NL coverage sublanguage achieved through both corpus-based grammar development message extraction techniques.","Natural language, Artificial intelligence, Natural language processing, Sublanguage, Scheduling (computing), Computer science, Grammar, German",0
Big Data Framework,1975912085,A characterization of big data benchmarks,"Recently, big data has been evolved into buzzword from academia to industry all over the world. Benchmarks are important tools for evaluating an IT system. However, benchmarking systems is much more challenging than ever before. First, still in their infant stage and consequently they not well understood. Second, complicated compared previous such as single node computing platform. While some researchers started design benchmarks systems, do consider redundancy between benchmarks. Moreover, use artificial input sets rather real world It therefore unclear whether these can be used precisely evaluate performance of systems. In this paper, we first analyze among ICTBench, HiBench typical workloads applications: spatio-temporal analysis Shenzhen transportation Subsequently, present initial idea benchmark suite data. There three findings work: (1) exists pioneering suites them removed safely. (2) The workload behavior trajectory applications dramatically affected by sets. (3) created academic research cannot represent cases applications.","Data mining, Redundancy (engineering), Computer science, Benchmarking, Workload, Big data, Data science, Suite, Data set, Trajectory, Benchmark (computing)",0
Novel-word pronunciation within a text-to-speech system,2171975580,Multi-Lingual Testing of a Self-Learning Approach to Phonemic Transcription of Orthography,,"Orthography, Speech recognition, Natural language processing, Decision tree, Computer science, Artificial intelligence",0
Reinforcement Learning in First Person Shooter Games,2115899886,Hierarchical controller learning in a First-Person Shooter,"We describe the architecture of hierarchical learning-based controller for bots in First-Person Shooter (FPS) game Unreal Tournament 2004. The is inspired by subsumption commonly used behaviourbased robotics. behaviour selector decides which three sub-controllers gets to control bot at each time step. Each implemented as recurrent neural network, and trained with artificial evolution perform respectively combat, exploration path following. multiobjective evolutionary algorithm achieve an effective balancing lower-level behaviours. argue that FPS games provide good environments studying learning complex behaviours, methods proposed here can help developing interesting opponents games.","Evolutionary algorithm, Machine learning, Simulation, Subsumption architecture, Artificial neural network, Evolutionary computation, Architecture, Action selection, Artificial intelligence, Computer science, Control theory, Recurrent neural network",0
