paper,id,title,abstract,fos,score
Big Data Framework,2295727839,Gobblin: unifying data ingestion for Hadoop,"Data ingestion is an essential part of companies and organizations that collect analyze large volumes data. This paper describes Gobblin, generic data framework for Hadoop one LinkedIn's latest open source products. At LinkedIn we need to ingest from various sources such as relational stores, NoSQL streaming systems, REST endpoints, filesystems, etc. into our clusters. Maintaining independent pipelines each can lead operational problems. Gobblin aims solve this issue by providing centralized makes it easy support ingesting variety sources.  Gobblin distinguishes itself similar frameworks focusing on three core principles: generality, extensibility, operability. supports mixture out-of-the-box be easily extended more. enables organization use single handle different needs, making inexpensive operate. Moreover, with end-to-end metrics collection reporting module, simple efficient identify issues in production.","Data mining, Database, NoSQL, Operability, Computer science, Generality, Extensibility",0
Efficient Estimation of Word Representations in Vector Space,2186845332,Learning semantic representations using convolutional neural networks for web search,"This paper presents series of new latent semantic models based on convolutional neural network (CNN) to learn low-dimensional vectors for search queries and Web documents. By using the convolution-max pooling operation, local contextual information at word n-gram level is modeled first. Then, salient fea-tures in sequence are combined form global feature vector. Finally, high-level extracted vector representation. The proposed trained clickthrough data by maximizing conditional likelihood clicked documents given query, us-ing stochastic gradient ascent. evaluated document ranking task large-scale, real-world set. Results show that our model significantly outperforms other se-mantic models, which were state-of-the-art retrieval performance prior this work.","Gradient descent, Semantic search, Pooling, Computer science, Feature vector, Semantic computing, Machine learning, Semantic similarity, Pattern recognition, Ranking, Convolutional neural network, Artificial intelligence",0
Reinforcement Learning in First Person Shooter Games,1974015235,Efficient Reinforcement Learning in Adversarial Games,"The ability of learning is critical for agents designed to compete in variety two-player, turn-taking, tactical adversarial games, such as Backgammon, Othello/Reversi, Chess, Hex, etc. mainstream approach games consists updating some state evaluation function usually Temporal Difference (TD) sense either under the MiniMax optimality criterion or optimization against specific opponent. However, this limited by several factors: (a) updates are incremental, (b) stored samples from past cannot be utilized, and (c) quality each update depends on current due bootstrapping. In paper, we present based Least-Squares Policy Iteration (LSPI) algorithm that overcomes these limitations focusing state-action function. key advantage proposed agent can make batch with any collection samples, utilize do not depend since there no We demonstrate efficiency LSPI over TD classical board game Othello/Reversi.","Artificial intelligence, Machine learning, Reinforcement learning, Function approximation, Computer science, Optimality criterion, Evaluation function, Temporal difference learning, Adversary, Bootstrapping, Minimax",0
Natural Language Interface Using Shallow Parsing.,2025109494,Minimizing ambiguity in natural language software requirements specification,"Software requirements are typically captured in natural languages (NL) such as English and then analyzed by software engineers to generate formal design/model (such UML model). However, is syntactically ambiguous semantically inconsistent. Hence, the specifications of can not only result erroneous absurd designs implementations but informal nature also main obstacle machine processing specification requirements. To address this key challenge, there need introduce controlled NL representation for accurate consistent models. In paper, we report an automated approach Semantic Business Vocabulary Rules (SBVR) standard based requirement specification. The SBVR models process able because has pure mathematical foundation. We java implementation presented that proof concept.","Theoretical computer science, Software requirements, Data mining, Software design description, Software construction, Software requirements specification, Computer science, Goal-Driven Software Development Process, Software design, Programming language, Package development process, Software sizing",0
Reinforcement Learning in First Person Shooter Games,1804739212,Simulation and reinforcement learning with soccer agents,"Multi-Agent Systems extend research in Artificial Intelligence and agent systems by incorporating cooperative learning teaming architectures. Agent is key area of multi-agent that mainly composed artificial intelligence distributed computing techniques. The reasoning ability agents uncertain environments via communication collaboration (in both competitive situations) another feature for autonomous agents. Many theoretical applied techniques have been to the investigation with respect coordination, cooperation, abilities. Due inherent complexity real-time, stochastic, dynamic environments, it often extremely complex difficult formally verify their properties priori. In addition, quite generate enough episodes real applications training goal-oriented agent's individual most cases, such abilities can be obtained computer simulation, rather than directly from applications. doing so, simulation testbed test algorithms specified scenarios. objective this paper improve convergence efficiency reinforcement large, continuous state-action spaces, finding optimal values parameters those algorithms. paper, game soccer adopted as environment conjunction optimisation agents' decision making. We use Sarsa algorithm linear function approximation technique known tile coding avoid state space growing exponentially. are investigated through simulating game.","Autonomous agent, Distributed computing, Convergence (routing), Learning classifier system, Reinforcement learning, Robot learning, Competitive learning, Cooperative learning, Computer science, Machine learning, State space, Artificial intelligence",0
Big Data Framework,1539036277,Developing a Real-Time Data Analytics Framework Using Hadoop,"Currently, the majority of existing workflows are based on meta-heuristics that produce good heuristics dynamic in nature, and map workflow tasks to services on-the-fly, but unfortunately, they lack ability supporting analytical considering data types real-time processing. This paper aims address this problem by developing analytics framework capable handling processing structured unstructured needed for performing different tasks, ranging from ingestion exploration, visualization. We propose architecture Storm/YARN projects ingestion, exploration visualization streaming data. have implemented proposed using Apache Storm related APIs both local mode distributed mode. describe our experiments prototype implementation evaluate functional requirements each component non-functional tests such as real time update performance taken flow among components. All components were able handle their own functionalities properly. Also, we provide main results test order discuss system efficiency.","Database, Data mining, Analytics, Ranging, Data architecture, Architecture, Data analysis, Computer science, Big data, Data flow diagram, Unstructured data",0
Big Data Framework,2075835333,Big data as the new enabler in business and other intelligence,"The term ""big data"" will always be remembered as the big buzzword of 2013. According to Wikipedia, data ""is collection sets so large and complex that it becomes difficult process using on-hand database management tools"". In other perceptions, ""3 Vs"" characterize (i.e., volume, velocity, variety) or ""4 (adding veracity previous three) are responsible for fact exceeds an organization's own well its storage compute capacity accurate timely decision-making. essence, refers situation more aspects artifacts everyday life, personal professional, available in digital form, e.g., company profiles, social network blog postings, buying histories, health records, name just few, increasingly gets dynamically produced especially on Internet Web, nowadays tools techniques evaluating analyzing all various combinations. Numerous companies already foresee enormous business effects analytical scenarios based can have, impacts hence have advertising, commerce, intelligence (BI). This paper reviews issues, techniques, applications data, with emphasis future BI architectures.","Business intelligence, Social network, Computer science, Enabling, Data mining, Data set, Big data, Business analytics, Everyday life, The Internet",3
Natural Language Interface Using Shallow Parsing.,2156822639,TOWARDS A SELF-EXTENDING PARSER,This paper discusses an approach to incremental learning in natural language processing. The technique of projecting and integrating semantic constraints learn word definitions is analyzed as implemented the POLITICS system. Extensions improvements this are developed. problem generalizing existing meanings understanding metaphorical uses words addressed terms constraint integration.,"Generalization, Natural language processing, Machine learning, Parsing, Political system, Semantic computing, Artificial intelligence, Computer science",0
Novel-word pronunciation within a text-to-speech system,98372955,Stressed Syllable Determination for Romanian Words within Speech Synthesis Applications,"This paper proposes and experimentally evaluates method to determine the stressed syllable of word in framework speech synthesis Romanian. In order produce high quality speech, system needs information about position stress for each sentence be generated. Otherwise, incorrect positioning (or, worst case, completely ignoring it) translates into poor synthesized speech. Since Romanian is free-stressed language (as English, example), within not clearly defined. Consequently, set explicit rules that can exact difficult generate. solve this problem, we propose an original find stressing as well algorithm implement method. According algorithm, computed according number parameters encompassing morphologic, phonetic, lexical characteristics word. The experimental results show errors automatic assignment using our do exceed 6%.","Artificial intelligence, Speech recognition, Pattern recognition, Romanian, Syllable, Computer science, Speech synthesis, Sentence",0
Novel-word pronunciation within a text-to-speech system,316160580,Automatic detection and correction of pronunciation errors for foreign language learners: the demosthenes application.,,"Speech recognition, Foreign language, Pronunciation, Computer science, Natural language processing, Artificial intelligence",0
